dt,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_pct_change,djia_pct_change
1990-01-03,18.19,358.76001,192330000.0,2809.73,23.62,2858.699951,-0.229917,7.89,3,100.359178207312,75.4080505371094,359.690002,,
1990-01-04,19.22,355.670013,177000000.0,2796.08,24.37,2868.0,-0.246065,7.84,3,100.359178207312,56.0858039855957,358.76001,-0.861299173227259,-0.4858118039811732
1990-01-05,20.11,352.200012,158530000.0,2773.25,20.29,2839.899902,-0.260393,7.79,3,100.359178207312,63.8476753234863,355.670013,-0.97562371669494,-0.8165002431976154
1990-01-08,20.26,353.790009,140110000.0,2794.37,16.61,2816.0,-0.29175,7.79,3,100.359178207312,102.841156005859,352.200012,0.4514471737155912,0.7615613449923231
1990-01-09,22.2,349.619995,155210000.0,2766.0,15.8,2822.0,-0.297326,7.8,3,100.359178207312,138.435668945312,353.790009,-1.1786692370953866,-1.0152556748032615
1990-01-10,22.44,347.309998,175990000.0,2750.64,19.95,2868.0,-0.300341,7.75,3,100.359178207312,103.517738342285,349.619995,-0.6607165016405903,-0.555314533622564
1990-01-11,20.05,348.529999,154390000.0,2760.67,15.79,2855.0,-0.300796,7.8,3,100.359178207312,77.2074661254883,347.309998,0.35127148859099844,0.36464241049356527
1990-01-12,24.64,339.929993,183880000.0,2689.21,24.18,2835.0,-0.298692,7.74,3,100.359178207312,69.9548492431641,348.529999,-2.4675081125512976,-2.5885020665273317
1990-01-15,26.34,337.0,140590000.0,2669.37,18.63,2788.600098,-0.277353,7.74,3,100.359178207312,101.842697143555,339.929993,-0.8619401230652857,-0.7377631348983615
1990-01-16,24.18,340.75,186070000.0,2692.62,25.0,2751.800049,-0.265677,7.89,3,100.359178207312,78.4039688110352,337.0,1.1127596439169052,0.8709920318277442
1990-01-17,24.16,337.399994,170470000.0,2659.13,21.31,2754.800049,-0.251768,7.97,3,100.359178207312,86.1650543212891,340.75,-0.9831272193690399,-1.2437700083933079
1990-01-18,24.34,338.190002,178590000.0,2666.38,22.75,2771.699951,-0.235623,8.04,3,100.359178207312,65.5953979492188,337.399994,0.23414582514782456,0.27264556452675226
1990-01-19,22.5,339.149994,185590000.0,2677.9,23.36,2776.300049,-0.217234,8.0,3,100.359178207312,96.365608215332,338.190002,0.2838617328492221,0.4320464449928396
1990-01-22,26.7,330.380005,148380000.0,2600.45,20.06,2771.699951,-0.150139,7.99,3,100.359178207312,69.1226043701172,339.149994,-2.5858732581902966,-2.892191642705111
1990-01-23,24.72,331.609985,179300000.0,2615.32,22.52,2762.5,-0.125918,7.93,3,100.359178207312,121.305297851562,330.380005,0.37229250601893416,0.5718241073660479
1990-01-24,25.39,330.26001,207830000.0,2604.5,28.07,2756.399902,-0.101022,7.93,3,100.359178207312,72.0123443603516,331.609985,-0.4070972108997206,-0.4137161035743353
1990-01-25,25.63,326.079987,172270000.0,2561.04,22.16,2768.899902,-0.07544,7.95,3,100.359178207312,88.1940307617188,330.26001,-1.2656763984231767,-1.6686504127471746
1990-01-26,26.28,325.799988,198190000.0,2559.23,25.73,2768.899902,-0.0491631,7.93,3,100.359178207312,77.4154815673828,326.079987,-0.08586819527811596,-0.07067441351950032
1990-01-29,26.44,325.200012,150770000.0,2553.38,16.54,2768.899902,0.0363421,8.0,3,100.359178207312,117.308471679688,325.799988,-0.1841547029154511,-0.22858437889521355
1990-01-30,27.25,322.980011,186030000.0,2543.24,24.91,2760.800049,0.0703036,8.0,3,100.359178207312,83.9249649047852,325.200012,-0.6826571088810462,-0.39712067925652406
1990-01-31,25.36,329.079987,189660000.0,2590.54,22.51,2751.600098,0.107416,8.0,3,100.359178207312,128.320419311523,322.980011,1.8886543415221002,1.859832339849965
1990-02-01,24.87,328.790009,154580000.0,2586.26,19.8,2738.199951,0.147694,8.02,3,89.5909539887578,77.2074661254883,329.079987,-0.08811778639095103,-0.16521651856368225
1990-02-02,24.32,330.920013,164400000.0,2602.7,18.7,2736.600098,0.187236,8.07,3,89.5909539887578,104.90470123291,328.790009,0.647831120683473,0.6356669476386578
1990-02-05,24.54,331.850006,130950000.0,2622.52,13.65,2756.600098,0.300568,8.08,3,89.5909539887578,115.420478820801,330.920013,0.28103256480895844,0.7615168863103872
1990-02-06,24.69,329.660004,134070000.0,2606.31,16.21,2792.0,0.335252,8.09,3,89.5909539887578,149.439147949219,331.850006,-0.6599373091468297,-0.6181077742019148
1990-02-07,24.29,333.75,186710000.0,2640.09,20.75,2844.800049,0.36824,8.08,3,89.5909539887578,93.4998931884766,329.660004,1.2406709793038706,1.2960852699793968
